<sortable 4>
^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 분류 ^ 출처 ^ 상태 ^
| [[http://wikileaks.org/cable/2006/07/06TOKYO3707.html|06TOKYO3707]] | [[/06tokyo3707]] | 독도: 한국은 "응분의 대가를 치러야" 할 것 | 2006-07-03 09:43 | 비밀(2급) | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1879.html|09TOKYO1879]] | [[/09TOKYO1879]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(1/4부) | 2009-08-14 07:04 | 비밀 | 주일 미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1881.html|09TOKYO1881]] | [[/09TOKYO1881]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(2/4부) | 2009-08-14 07:22 | 비밀 | 주일 미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1882.html|09TOKYO1882]] | [[/09TOKYO1882]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(3/4부) | 2009-08-14 07:36 | 비밀 | 주일 미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1883.html|09TOKYO1883]] | [[/09TOKYO1883]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(4/4부) | 2009-08-14 07:46 | 비밀 | 도쿄대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/04/09TOKYO837.html|09TOKYO837]]| [[/09TOKYO837]] | 일본 미·일·한 3자 안보 협력에 관한 일본과 한국 관리들과 학계의 견해 | 2009-04-13 07:53 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2006/04/06TOKYO2098.html| 06TOKYO2098 ]]| [[/06TOKYO2098]] | 독도 : 일본, 대한민국에 비밀 제안 | 2006-04-18 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2006/04/06TOKYO2095.html| 06TOKYO2095 ]]| [[/06TOKYO2095]] | 일본과 영토 분쟁하는 한국대사 | 2006-04-18 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/02/09STATE14756.html| 09STATE14756 ]]|[[/09STATE14756]] | 스타인 버그 국무부 부장관 한국의 김성환 외교안보수석과 회의 | 2009-02-18 | 비밀 | 미 국무부 | 완료 |
| [[http://wikileaks.org/cable/2010/01/10STATE5268.html| 10STATE5268 ]]|[[/10STATE5268]]| 동아시아 지역담당자 한국 국회의원들과 회동 | 2010-01-19 | 비분류/공무외 사용금지 | 국무부 | 완료 |
| [[http://wikileaks.org/cable/2008/06/08TOKYO1605.html|08TOKYO1605]]| [[/08TOKYO1605]] | 한·일 전략적 대화는 북한의 비핵화 로드맵에 집중 | 2008-06-12 06:48 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/07/08TOKYO1985.html|08TOKYO1985]]| [[/08TOKYO1985]] | 교과서에 다케시마를 포함시킨 일본정부의 결정은 한일관계에 ‘폭발적인’ 파장 있을 것 | 2008-07-17 06:41 | 기밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/01/08TOKYO165.html|08TOKYO165]]| [[/08TOKYO165]] | 일본과 한국 특사 친밀한 유대관계를 추진 | 2008-01-22 09:56 | 기밀 | 주일 미국대사관 | 완료 |
</sortable><sortable 4>
^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 분류 ^ 출처 ^ 상태 ^
| [[http://wikileaks.org/cable/2006/07/06TOKYO3707.html|06TOKYO3707]] | [[/06tokyo3707]] | 독도: 한국은 "응분의 대가를 치러야" 할 것 | 2006-07-03 09:43 | 비밀(2급) | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/04/08TOKYO947.html|08TOKYO947]] | [[/08TOKYO947]] | 대사 아동 포르노를 논의하기 위해 야당 의원들과 회동 | 2008-04-07 22:53 | 미분류 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2006/04/06TOKYO2154.html|06TOKYO2154]] | [[/06TOKYO2154]] | 토마스 시퍼 대사 야치 차관과 독도 분쟁 논의 | 2006-04-20 06:45 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/04/08TOKYO1029.html|08TOKYO1029]] | [[/08TOKYO1029]] | 유명환 장관의 도쿄 방문 셔틀외교와 대북협력, FTA 협상의 장을 마련 | 2008-04-15 08:05 | 기밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2006/02/06ULAANBAATAR139.html|06ULAANBAATAR139]] | [[/06ULAANBAATAR139]] | 몽골정보총국 북한외교관이 소지한 미국 달러화와 일본 엔화 압수 조사 | 2006-02-26 23:38 | 비밀/외국전파금지 | 주몽골미국대사관 | 완료 | 
| [[http://wikileaks.org/cable/2006/03/06ULAANBAATAR155.html|06ULAANBAATAR155]] | [[/06ULAANBAATAR155]] | 북한 외교관이 운반하던 미 달러화와 엔화에서 위폐 발견하지 못해 | 2006-03-03 09:02 | 비밀/외국전파금지 | 주몽골미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/11/09STATE115253.html|09STATE115253]] | [[/09STATE115253]] | 한국의 아프간 지방재건팀 계획 | 2009-11-07 01:06 | 비밀/외국전파금지 | 국무부 장관 | 완료 |
| [[http://wikileaks.org/cable/2009/07/09SHENYANG119.html|09SHENYANG119]] | [[/09SHENYANG119]] | 탈북자: 다양한 사회 계층, 엘리트, 그리고 브로커에 의존 | 2009-07-08 04:46 | 기밀 | 주선양 미국영사관 | 완료 |
| [[http://wikileaks.org/cable/2008/04/08STATE40380.html|08STATE40380]] | [[/08STATE40380]] | 외교정책: 미국·유럽연합의 양심수 선언 | 2008-04-17 15:30 | 기밀 | 국무부장관 | 완료 |
| [[http://wikileaks.org/cable/2008/03/08TOKYO804.html|08TOKYO804]] | [[/08TOKYO804]] | 집속탄: 일본의 모호한 정책 | 2008-03-24 08:27 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2007/04/07TOKYO1716.html|07TOKYO1716]] | [[/07TOKYO1716]] | 일본 집속탄 관련해 협력 요청 | 2007-04-18 09:03 | 기밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/10/08STATE111761.html|08STATE111761]] | [[/08STATE111761]] | 2008년 10월 14일 한·미·일 고위급 3자 협의 | 2008-10-20 22:22 | 비밀 | 국무부장관 | 완료 |
| [[http://wikileaks.org/cable/2009/03/09STATE29932.html|09STATE29932]] | [[/09STATE29932]] | 대포동 2호 발사 직후 대여론 외교와 대한 동맹 조율 | 2009-03-27 19:38 | 비밀/외국전파금지 | 국무부장관 | 완료 |
| [[http://wikileaks.org/cable/2006/08/06TOKYO4453.html|06TOKYO4453]] | [[/06TOKYO4453]] | 한국과의 관계―일본에선 ‘신뢰의 붕괴’ | 2006-08-08 09:25 | 기밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/09/08STATE95622.html|08STATE95622]] | [[/08STATE95622]] | 응용 동반자 회의를 위한 한미 전략적 협의 | 2008-09-06 04:31 | 기밀/외국전파금지 | 미 국무부 | 완료 | 
| [[http://wikileaks.org/cable/2009/08/09TOKYO1879.html|09TOKYO1879]] | [[/09TOKYO1879]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(1/4부) | 2009-08-14 07:04 | 비밀 | 주일 미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1881.html|09TOKYO1881]] | [[/09TOKYO1881]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(2/4부) | 2009-08-14 07:22 | 비밀 | 주일 미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1882.html|09TOKYO1882]] | [[/09TOKYO1882]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(3/4부) | 2009-08-14 07:36 | 비밀 | 주일 미국대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/08/09TOKYO1883.html|09TOKYO1883]] | [[/09TOKYO1883]] | 그렉슨 국방부 부차관 7월 16~17일 미·일·한 3자 방위회담 참석(4/4부) | 2009-08-14 07:46 | 비밀 | 도쿄대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/04/09TOKYO837.html|09TOKYO837]]| [[/09TOKYO837]] | 일본 미·일·한 3자 안보 협력에 관한 일본과 한국 관리들과 학계의 견해 | 2009-04-13 07:53 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2006/04/06TOKYO2098.html| 06TOKYO2098 ]]| [[/06TOKYO2098]] | 독도 : 일본, 대한민국에 비밀 제안 | 2006-04-18 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2006/04/06TOKYO2095.html| 06TOKYO2095 ]]| [[/06TOKYO2095]] | 일본과 영토 분쟁하는 한국대사 | 2006-04-18 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2009/02/09STATE14756.html| 09STATE14756 ]]|[[/09STATE14756]] | 스타인 버그 국무부 부장관 한국의 김성환 외교안보수석과 회의 | 2009-02-18 | 비밀 | 미 국무부 | 완료 |
| [[http://wikileaks.org/cable/2010/01/10STATE5268.html| 10STATE5268 ]]|[[/10STATE5268]]| 동아시아 지역담당자 한국 국회의원들과 회동 | 2010-01-19 | 비분류/공무외 사용금지 | 국무부 | 완료 |
| [[http://wikileaks.org/cable/2008/06/08TOKYO1605.html|08TOKYO1605]]| [[/08TOKYO1605]] | 한·일 전략적 대화는 북한의 비핵화 로드맵에 집중 | 2008-06-12 06:48 | 비밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/07/08TOKYO1985.html|08TOKYO1985]]| [[/08TOKYO1985]] | 교과서에 다케시마를 포함시킨 일본정부의 결정은 한일관계에 ‘폭발적인’ 파장 있을 것 | 2008-07-17 06:41 | 기밀 | 주일 미국 대사관 | 완료 |
| [[http://wikileaks.org/cable/2008/01/08TOKYO165.html|08TOKYO165]]| [[/08TOKYO165]] | 일본과 한국 특사 친밀한 유대관계를 추진 | 2008-01-22 09:56 | 기밀 | 주일 미국대사관 | 완료 |
</sortable>
