<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 비밀등급 ^ 상태 ^
| 1001 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1272_a.html| 08SEOUL1272 ]]| [[/08SEOUL1272]] | 제임스 신 국방부 차관보, 이용준 외교통상부 차관보 면담: 한미 동맹 문제는 천천히 조용히 진행해야 | 2008-06-26 | 기밀 | 완료 |
| 1020 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1434_a.html| 08SEOUL1434 ]]| [[/08SEOUL1434]] | 외교통상부, 한국이 아프가니스탄 지원 확대할 계획이라고 밝혀 | 2008-07-18 | 기밀 | 완료 |
| 1021 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1448_a.html| 08SEOUL1448 ]]| [[/08SEOUL1448]] | 7월 23일 국무장관과 유명환 장관과의 회동을 위한 무대 연출 | 2008-07-21 | 기밀 | 완료 |
| 1022 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1454_a.html| 08SEOUL1454 ]]| [[/08SEOUL1454]] | 이란중앙은행이 한국산업은행과 관계 맺기를 추진하는 것에 대한 한국 반응/조치 요청 | 2008-07-23 | 비밀 | 완료 |
| 1023 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1456_a.html| 08SEOUL1456 ]]| [[/08SEOUL1456]] | 미국 행정명령 13382호에 따른 이란 항목 추가 지정에 대한 한국 반응 | 2008-07-23 | 대외비 | |
| 1024 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1477_a.html| 08SEOUL1477 ]]| [[/08SEOUL1477]] | 블루랜턴 3단계 선적 전 최종 사용 검사 허가 050081569에 대한 반응 | 2008-07-25 | 미분류 | |
| 1025 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1479_a.html| 08SEOUL1479 ]]| [[/08SEOUL1479]] | 이명박 대통령의 기후 구상: 한국을 선진국과 개발도상국의 ‘다리’로 | 2008-07-25 | 기밀 | |
| 1026 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1480_a.html| 08SEOUL1480 ]]| [[/08SEOUL1480]] | 전광우 금융위원회 위원장, 론스타와 은행 민영화, 금융 규제 철폐 언급 | 2008-07-25 | 기밀 | 완료 |
| 1027 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1490_a.html| 08SEOUL1490 ]]| [[/08SEOUL1490]] | 한나라당 지도부, 소고기와 FTA 비준, 기타 국회 주요 현안 검토 | 2008-07-29 | 기밀 | 완료 |
| 1028 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1524_a.html| 08SEOUL1524 ]]| [[/08SEOUL1524]] | 정세균 민주당 대표, FTA와 소고기 문제 언급 | 2008-08-01 | 기밀 | 완료 |
| 1029 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1525_a.html| 08SEOUL1525 ]]| [[/08SEOUL1525]] | 정세균 민주당 대표, FTA와 소고기 문제 언급 | 2008-08-01 | 기밀 | 완료 |
| 1030 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1526_a.html| 08SEOUL1526 ]]| [[/08SEOUL1526]] | 정세균 민주당 대표, FTA와 소고기 문제 언급 | 2008-08-01 | 기밀 | 완료 |
| 1031 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1527_a.html| 08SEOUL1527 ]]| [[/08SEOUL1527]] | 유명환 외무장관, 정상회담 준비에 만족했으며 독도 문제 관련 “끝이 좋으면 다 좋다”라고 언급 | 2008-08-01 | 기밀 | 완료 |
| 1032 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1528_a.html| 08SEOUL1528 ]]| [[/08SEOUL1528]] | 북한 식량 지원 방문: 시작은 좋아 | 2008-08-01 | 기밀 | |
| 1033 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1532_a.html| 08SEOUL1532 ]]| [[/08SEOUL1532]] | 한미 동맹 연구자들, 현상태 유지에 경고 | 2008-08-04 | 기밀 | 완료 |
| 1034 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1558_a.html| 08SEOUL1558 ]]| [[/08SEOUL1558]] | 블루랜턴 3단계 허가 전 최종 사용 검사 050112368에 대한 반응 | 2008-08-07 | 미분류 | |
| 1035 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1568_a.html| 08SEOUL1568 ]]| [[/08SEOUL1568]] | 블루랜턴 3단계 선적 후 최종 사용 검사 050092420에 대한 반응 | 2008-08-08 | 미분류 | |
| 1036 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1570_a.html| 08SEOUL1570 ]]| [[/08SEOUL1570]] | 북한 시골 지역 방문: 농촌 풍경에 질서정연하고 고요하다 | 2008-08-10 | 기밀 | |
| 1037 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1581_a.html| 08SEOUL1581 ]]| [[/08SEOUL1581]] | 유준하 청와대 통일비서관, 내년 남북 관계 개선 낙관 | 2008-08-11 | 기밀 | 완료 |
| 1038 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1606_a.html| 08SEOUL1606 ]]| [[/08SEOUL1606]] | 한국, 북한이 한국 바지선과 북한 어선 충돌을 문제 삼지 않아 안도 | 2008-08-14 | 기밀 | 완료 |
| 1039 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1620_a.html| 08SEOUL1620 ]]| [[/08SEOUL1620]] | 식물국회 | 2008-08-18 | 기밀 | |
| 1040 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1663_a.html| 08SEOUL1663 ]]| [[/08SEOUL1663]] | 금강산: 현대아산, 한국 정부가 앞장서기를 기다려 | 2008-08-20 | 기밀 | 완료 |
| 1041 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1676_a.html| 08SEOUL1676 ]]| [[/08SEOUL1676]] | 국회 주요 상임위원회, 미국에 협조적일 듯 | 2008-08-22 | 기밀 | 완료 |
| 1042 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1681_a.html| 08SEOUL1681 ]]| [[/08SEOUL1681]] | 중국에 대한 한국 정부의 견해: 한미 동맹은 꼭 필요하다고 | 2008-08-25 | 기밀 | 완료 |
| 1043 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1686_a.html| 08SEOUL1686 ]]| [[/08SEOUL1686]] | 한국 정부, 조지아(그루지야)에 대한 미국 정부와 국제 사회의 입장 지지 | 2008-08-26 | 기밀 | |
| 1044 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1688_a.html| 08SEOUL1688 ]]| [[/08SEOUL1688]] | 한국 정부, 남오세티야와 압하스 승인을 위해 러시아의 신호를 기다려 | 2008-08-26 | 기밀 | |
| 1045 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1696_a.html| 08SEOUL1696 ]]| [[/08SEOUL1696]] | 김영삼, 이명박 대통령의 대일 관계에 대해 비관적 | 2008-08-27 | 기밀 | 완료 |
| 1046 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1700_a.html| 08SEOUL1700 ]]| [[/08SEOUL1700]] | 한·중 정상회담, 일대일 회담의 대부분 북한 문제를 다뤄 | 2008-08-27 | 기밀 | 완료 |
| 1047 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1710_a.html| 08SEOUL1710 ]]| [[/08SEOUL1710]] | 이명박, 올림픽 효과를 톡톡히 봐: 지지율 일시적으로 올라갈 듯 | 2008-08-28 | 대외비 | |
| 1048 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1719_a.html| 08SEOUL1719 ]]| [[/08SEOUL1719]] | 한국정부 남북관계의 시기를 저울질 | 2008-08-29 | 기밀 | 완료 |
| 1049 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1746_a.html| 08SEOUL1746 ]]| [[/08SEOUL1746]] | 선박의 이란해운(이하 IRISL) 인도에 관한 우려 | 2008-09-04 | 비밀 | |
| 1050 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1753_a.html| 08SEOUL1753 ]]| [[/08SEOUL1753]] | 한미 방위비 분담 특별협정 협상 3라운드 | 2008-09-05 | 기밀/외국전파금지 | 완료 |
| 1051 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1757_a.html| 08SEOUL1757 ]]| [[/08SEOUL1757]] | 한국, APDP 고위급 회의 개최에 거부 의사 밝혀 | 2008-09-05 | 기밀 | 완료 |
| 1052 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1768_a.html| 08SEOUL1768 ]]| [[/08SEOUL1768]] | 유엔 총회 제3위원회(사회적·인도적·문화적 의제를 다룬다): 한국, 결의안을 충분히 고려하기로 | 2008-09-08 | 기밀 | |
| 1053 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1795_a.html| 08SEOUL1795 ]]| [[/08SEOUL1795]] | 김정일 건강 이상설 | 2008-09-10 | 기밀 | 완료 |
| 1054 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1808_a.html| 08SEOUL1808 ]]| [[/08SEOUL1808]] | 언론 브리핑—2008년 9월 11일 | 2008-09-11 | 미분류 | |
| 1055 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1818_a.html| 08SEOUL1818 ]]| [[/08SEOUL1818]] | 한국, 코소보 관련 권고적 의견(국제사법재판소가 일정한 국제기관의 법률적 자문에 대해 판결과 동일한 절차를 밟아 제출하는 의견)\\ 요청에 대한 우려 공유 | 2008-09-12 | 기밀 | |
| 1056 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1819_a.html| 08SEOUL1819 ]]| [[/08SEOUL1819]] | 통일부 장관과 외교통상부 장관, 김정일에 대해 차분한 접근을 언급하고 미국 정부의 조언 요청 | 2008-09-12 | 기밀 | 완료 |
| 1057 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1820_a.html| 08SEOUL1820 ]]| [[/08SEOUL1820]] | 한국, APDP 회의 개최를 재고. 자세한 정보 요청 | 2008-09-12 | 기밀 | 완료 |
| 1058 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1826_a.html| 08SEOUL1826 ]]| [[/08SEOUL1826]] | 미 대사, 노무현 전 대통령 고별 방문 | 2008-09-16 | 기밀 | 완료 |
| 1059 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1830_a.html| 08SEOUL1830 ]]| [[/08SEOUL1830]] | 선박의 이란해운(이하 IRISL) 인도에 관한 우려 | 2008-09-16 | 비밀 | |
| 1060 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1831_a.html| 08SEOUL1831 ]]| [[/08SEOUL1831]] | 18대 국회 다툼거리 넘쳐난다 | 2008-09-16 | 기밀 | 완료 |
| 1061 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1835_a.html| 08SEOUL1835 ]]| [[/08SEOUL1835]] | 허가 050121644호에 따른 블루랜턴 3단계 허가 전 최종 사용 검사 | 2008-09-17 | 미분류 | |
| 1062 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1841_a.html| 08SEOUL1841 ]]| [[/08SEOUL1841]] | 세드니 부차관보 이상희 국방장관과 회동 | 2008-09-17 | 기밀 | 완료 |
| 1063 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1844_a.html| 08SEOUL1844 ]]| [[/08SEOUL1844]] | 안보정책구상(SPI) 비공개 회의: 이라크, 아프가니스탄, 비용 분담, 한미안보협의회의 의제 논의 | 2008-09-17 | 기밀 | 완료 |
| 1064 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1845_a.html| 08SEOUL1845 ]]| [[/08SEOUL1845]] | 세드니 차관보 외교통상부 북미 국장과 회동 | 2008-09-17 | 기밀 | 완료 |
| 1065 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1847_a.html| 08SEOUL1847 ]]| [[/08SEOUL1847]] | 한국, APDP 개최 합의에 접근. 사전 고려 사항과 관련 미국의 견해 요청 | 2008-09-17 | 기밀 | 완료 |
| 1066 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1859_a.html| 08SEOUL1859 ]]| [[/08SEOUL1859]] | 한국, ADPD 개최에 동의 | 2008-09-18 | 기밀 | 완료 |
| 1067 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1865_a.html| 08SEOUL1865 ]]| [[/08SEOUL1865]] | 한나라당 사분오열, 입법에 진척 없을 듯 | 2008-09-19 | 기밀 | 완료 |
| 1068 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1869_a.html| 08SEOUL1869 ]]| [[/08SEOUL1869]] | 유종하 전 외무장관, 북한 언급 | 2008-09-19 | 기밀 | 완료 |
| 1069 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1882_a.html| 08SEOUL1882 ]]| [[/08SEOUL1882]] | 이란과의 핵 거래에 중국을 참여시키는 문제에 대한 한국의 첫 반응 | 2008-09-23 | 기밀 | |
| 1070 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1884_a.html| 08SEOUL1884 ]]| [[/08SEOUL1884]] | 6자 회담, 한국정부 9월 19일 북한과의 에너지경제협력에 관한 전언 | 2008-09-23 | 비밀 | 완료 |
| 1071 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1894_a.html| 08SEOUL1894 ]]| [[/08SEOUL1894]] | 한국, 원자력손해보충배상협약에 의미를 두지만 중국이 비준의 열쇠라고 생각 | 2008-09-24 | 미분류 | |
| 1072 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1912_a.html| 08SEOUL1912 ]]| [[/08SEOUL1912]] | 한국, 러시아와 관계 개선 계획 | 2008-09-26 | 기밀 | 완료 |
| 1073 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1936_a.html| 08SEOUL1936 ]]| [[/08SEOUL1936]] | 아프간국군 증강을 위해 한국 정부에 전달된 분명히 정리된 요구 사항 | 2008-10-02 | 비밀 | 완료 |
| 1074 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1946_a.html| 08SEOUL1946 ]]| [[/08SEOUL1946]] | 대북 정책과 북한 상황에 대한 한미 협의: 대화는 없다. 김정일은 여전히 권좌에 | 2008-10-06 | 기밀 | 완료 |
| 1075 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1947_a.html| 08SEOUL1947 ]]| [[/08SEOUL1947]] | 북한 인권 문제에 대한 한미 협의: 북한은 변화 없어. 한국 정부는 더 단정적 | 2008-10-06 | 기밀 | 완료 |
| 1076 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1956_a.html| 08SEOUL1956 ]]| [[/08SEOUL1956]] | 10월 2일 남북군사실무회담 | 2008-10-06 | 기밀 | 완료 |
| 1077 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1957_a.html| 08SEOUL1957 ]]| [[/08SEOUL1957]] | 스티븐스 대사 이명박 대통령과 회동 | 2008-10-06 | 기밀 | 완료 |
| 1078 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1960_a.html| 08SEOUL1960 ]]| [[/08SEOUL1960]] | 권종락 외무차관, 북한과 한미 동맹, 역내 관계 언급 | 2008-10-07 | 기밀 | 완료 |
| 1079 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1966_a.html| 08SEOUL1966 ]]| [[/08SEOUL1966]] | 한국, 해성-II 함대함 미사일 시험 발사 | 2008-10-07 | 비밀 | 완료 |
| 1080 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1980_a.html| 08SEOUL1980 ]]| [[/08SEOUL1980]] | 신청 050120453호에 따른 블루랜턴 3단계 허가 전 최종 사용 검사 | 2008-10-08 | 미분류 | |
| 1081 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1985_a.html| 08SEOUL1985 ]]| [[/08SEOUL1985]] | 신각수 외교2차관, 비자 면제와 대학생연수취업(이하 WEST) 프로그램, 대사관 신축 부지 언급 | 2008-10-08 | 기밀 | |
| 1082 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1988_a.html| 08SEOUL1988 ]]| [[/08SEOUL1988]] | 국영 이란해운 관련 한국정부의 반응과 외교문서 | 2008-10-09 | 비밀 | 완료 |
| 1083 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2000_a.html| 08SEOUL2000 ]]| [[/08SEOUL2000]] | 대북 인도적 지원과 난민 문제에 대한 한미 협의 | 2008-10-10 | 기밀 | 완료 |
| 1084 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2014_a.html| 08SEOUL2014 ]]| [[/08SEOUL2014]] | 아프가니스탄 선거: 한국 정부, 기타 원조국에 대한 상세 정보 원해 | 2008-10-14 | 미분류 | |
| 1085 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2016_a.html| 08SEOUL2016 ]]| [[/08SEOUL2016]] | 올림픽이 한국인의 중국관에 미친 영향 | 2008-10-14 | 대외비 | |
| 1086 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2029_a.html| 08SEOUL2029 ]]| [[/08SEOUL2029]] | 이명박, 지지율 끌어올리려 안간힘 | 2008-10-15 | 기밀 | 완료 |
| 1087 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2034_a.html| 08SEOUL2034 ]]| [[/08SEOUL2034]] | 제40차 한미안보협의회의(SCM) 관련 사전 정보 | 2008-10-15 | 기밀 | 완료 |
| 1088 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2035_a.html| 08SEOUL2035 ]]| [[/08SEOUL2035]] | 미 대사, 김형오 국회의장 예방 | 2008-10-15 | 기밀 | 완료 |
| 1089 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2037_a.html| 08SEOUL2037 ]]| [[/08SEOUL2037]] | 통일부 장관, 남북 관계 진단 | 2008-10-16 | 기밀 | 완료 |
| 1090 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2048_a.html| 08SEOUL2048 ]]| [[/08SEOUL2048]] | 노무현 전 대통령 활동 재개 | 2008-10-17 | 기밀 | |
| 1091 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2052_a.html| 08SEOUL2052 ]]| [[/08SEOUL2052]] | 척 헤이걸 상원의원, 한국 정부 관료 면담 | 2008-10-17 | 기밀 | 완료 |
| 1092 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2061_a.html| 08SEOUL2061 ]]| [[/08SEOUL2061]] | 조지아(그루지야) 원조국 회의 요청에 대한 한국 반응 | 2008-10-21 | 미분류 | |
| 1093 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2067_a.html| 08SEOUL2067 ]]| [[/08SEOUL2067]] | 척 헤이걸 상원의원, 이명박 대통령 면담 | 2008-10-21 | 대외비 | 완료 |
| 1094 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2072_a.html| 08SEOUL2072 ]]| [[/08SEOUL2072]] | 진 슬럿스키에게 한국 체류 허가 | 2008-10-22 | 대외비 | |
| 1095 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2075_a.html| 08SEOUL2075 ]]| [[/08SEOUL2075]] | 미 대사, 김영삼 전 대통령 면담 | 2008-10-22 | 기밀 | 완료 |
| 1096 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2076_a.html| 08SEOUL2076 ]]| [[/08SEOUL2076]] | 이란, 북한, 시리아 핵확산금지 조치—한국 기업에 대한 제재 통보 | 2008-10-22 | 비밀 | 완료 |
| 1097 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2077_a.html| 08SEOUL2077 ]]| [[/08SEOUL2077]] | 미 대사, 이상희 국방장관과 상견례 | 2008-10-22 | 기밀 | 완료 |
| 1098 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2078_a.html| 08SEOUL2078 ]]| [[/08SEOUL2078]] | 미 대사, 서울평화상 수상자 수전 숄티 접견 | 2008-10-23 | 대외비 | |
| 1099 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2082_a.html| 08SEOUL2082 ]]| [[/08SEOUL2082]] | 곤경에 처한 이명박, 발만 동동 | 2008-10-23 | 기밀 | 할당 |
| 1100 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2109_a.html| 08SEOUL2109 ]]| [[/08SEOUL2109]] | 미 대사와 김대중 전 대통령, 북한의 과거와 미래에 대해 논의 | 2008-10-28 | 기밀 | 완료 |
</sortable>
